# ISO 639-3 language codes used by chatter.
#
# Source: the ISO 639-3 code tables published by iso639-3.sil.org, the ISO
# registration authority for the standard. This file is a DERIVED product:
# it carries the identifiers chatter needs and nothing else, and it is not
# the code tables. The identifiers themselves are unmodified.
#
# Release: 20260715
# Generated by: scripts/update_iso639_3.py (re-run it when a new release
# appears; never hand-edit this file).
#
# Columns: code<TAB>status<TAB>change_to
#   current      assigned today.
#   retired      no longer assigned, still VALID here because a CHAT file is
#                a historical document; change_to names its replacement.
#   private_use  qaa..qtz, reserved by the standard for local use.
#
# Totals: 7927 current, 388 retired, 520 private use, 8835 in all.
bth	current	
bti	current	
btj	current	
btl	retired	
btm	current	
btn	current	
bto	current	
btp	current	
btq	current	
btr	current	
bts	current	
btt	current	
btu	current	
btv	current	
btw	current	
btx	current	
bty	current	
btz	current	
bua	current	
bub	current	
buc	current	
bud	current	
bue	current	
buf	current	
bug	current	
buh	current	
bui	current	
buj	current	
buk	current	
bul	current	
bum	current	
bun	current	
buo	current	
bup	current	
buq	current	
bus	current	
but	current	
buu	current	
buv	current	
buw	current	
bux	current	
buy	current	
buz	current	
bva	current	
bvb	current	
bvc	current	
bvd	current	
bve	current	
bvf	current	
bvg	current	
bvh	current	
bvi	current	
bvj	current	
bvk	current	
bvl	current	
bvm	current	
bvn	current	
bvo	current	
bvp	current	
bvq	current	
bvr	current	
bvs	retired	
bvt	current	
bvu	current	
bvv	current	
bvw	current	
bvx	current	
bvy	current	
bvz	current	
bwa	current	
bwb	current	
bwc	current	
bwd	current	
bwe	current	
bwf	current	
bwg	current	
bwh	current	
bwi	current	
bwj	current	
bwk	current	
bwl	current	
bwm	current	
bwn	current	
bwo	current	
bwp	current	
bwq	current	
bwr	current	
bws	current	
bwt	current	
bwu	current	
bwv	retired	
bww	current	
bwx	current	
bwy	current	
bwz	current	
bxa	current	
bxb	current	
bxc	current	
bxd	current	
bxe	current	
bxf	current	
bxg	current	
bxh	current	
bxi	current	
bxj	current	
bxk	current	
bxl	current	
bxm	current	
